2025-04-30 08:07:21:079 31 sec: 3666000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=111871, Min=47584, Avg=74670.28, 90=86719, 99=111679, 99.9=111871, 99.99=111871] 
2025-04-30 08:07:22:079 32 sec: 3785000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=101055, Min=45184, Avg=70298.08, 90=85311, 99=100799, 99.9=101055, 99.99=101055] 
2025-04-30 08:07:23:079 33 sec: 3906000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=88319, Min=49440, Avg=65226.58, 90=83391, 99=87935, 99.9=88319, 99.99=88319] 
2025-04-30 08:07:24:079 34 sec: 4027000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=87999, Min=44800, Avg=59172.23, 90=71935, 99=84927, 99.9=87999, 99.99=87999] 
2025-04-30 08:07:25:079 35 sec: 4146000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=100095, Min=45184, Avg=58604.1, 90=81599, 99=92607, 99.9=100095, 99.99=100095] 
2025-04-30 08:07:26:079 36 sec: 4267000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=104447, Min=44832, Avg=59240.73, 90=72383, 99=97023, 99.9=104447, 99.99=104447] 
2025-04-30 08:07:27:079 37 sec: 4385000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=84735, Min=47392, Avg=60306.17, 90=73599, 99=81919, 99.9=84735, 99.99=84735] 
2025-04-30 08:07:28:079 38 sec: 4505000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=99903, Min=44672, Avg=61044.27, 90=78975, 99=91903, 99.9=99903, 99.99=99903] 
2025-04-30 08:07:29:079 39 sec: 4625000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=92799, Min=46144, Avg=65226.4, 90=86399, 99=91263, 99.9=92799, 99.99=92799] 
2025-04-30 08:07:30:079 40 sec: 4746000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=94655, Min=44192, Avg=68578.78, 90=86591, 99=94399, 99.9=94655, 99.99=94655] 
2025-04-30 08:07:31:079 41 sec: 4864000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=105983, Min=43552, Avg=67705.76, 90=91711, 99=105599, 99.9=105983, 99.99=105983] 
2025-04-30 08:07:32:079 42 sec: 4985000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=130495, Min=47616, Avg=71396.36, 90=98111, 99=130495, 99.9=130495, 99.99=130495] 
2025-04-30 08:07:33:079 43 sec: 5105000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=106623, Min=43360, Avg=69303.87, 90=87551, 99=103807, 99.9=106623, 99.99=106623] 
2025-04-30 08:07:34:079 44 sec: 5225000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=96255, Min=51424, Avg=75441.6, 90=89215, 99=95487, 99.9=96255, 99.99=96255] 
2025-04-30 08:07:35:079 45 sec: 5345000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=98047, Min=43520, Avg=65719.33, 90=80703, 99=97599, 99.9=98047, 99.99=98047] 
2025-04-30 08:07:36:079 46 sec: 5465000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=96703, Min=47072, Avg=62899.07, 90=80959, 99=85823, 99.9=96703, 99.99=96703] 
2025-04-30 08:07:37:079 47 sec: 5587000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=87103, Min=43264, Avg=61429.38, 90=75135, 99=86975, 99.9=87103, 99.99=87103] 
2025-04-30 08:07:38:079 48 sec: 5706000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=88191, Min=48640, Avg=58063.33, 90=69887, 99=88063, 99.9=88191, 99.99=88191] 
2025-04-30 08:07:39:079 49 sec: 5825000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=92799, Min=45184, Avg=63210.35, 90=85439, 99=92735, 99.9=92799, 99.99=92799] 
