2025-05-01 03:19:53:204 47 sec: 3725000 operations; 82082.08 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=105535, Min=33856, Avg=55802.07, 90=74687, 99=105535, 99.9=105535, 99.99=105535] 
2025-05-01 03:19:54:204 48 sec: 3803000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=95295, Min=36672, Avg=49361.64, 90=63007, 99=95295, 99.9=95295, 99.99=95295] 
2025-05-01 03:19:55:204 49 sec: 3885000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=131327, Min=31728, Avg=56335.12, 90=72575, 99=131327, 99.9=131327, 99.99=131327] 
2025-05-01 03:19:56:204 50 sec: 3962000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=118975, Min=30912, Avg=54232.72, 90=75711, 99=118975, 99.9=118975, 99.99=118975] 
2025-05-01 03:19:57:204 51 sec: 4045000 operations; 83000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=88447, Min=32368, Avg=48366.54, 90=63935, 99=88447, 99.9=88447, 99.99=88447] 
2025-05-01 03:19:58:204 52 sec: 4123000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=74623, Min=34176, Avg=47686.56, 90=63743, 99=74623, 99.9=74623, 99.99=74623] 
2025-05-01 03:19:59:204 53 sec: 4202000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=120255, Min=34048, Avg=62755.44, 90=94911, 99=120255, 99.9=120255, 99.99=120255] 
2025-05-01 03:20:00:204 54 sec: 4282000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=127231, Min=31344, Avg=64616.5, 90=94015, 99=127231, 99.9=127231, 99.99=127231] 
2025-05-01 03:20:01:204 55 sec: 4360000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=134911, Min=36832, Avg=61392.41, 90=82303, 99=134911, 99.9=134911, 99.99=134911] 
2025-05-01 03:20:02:204 56 sec: 4442000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=169855, Min=33056, Avg=64882.93, 90=101119, 99=169855, 99.9=169855, 99.99=169855] 
2025-05-01 03:20:03:204 57 sec: 4522000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=129087, Min=32800, Avg=61827.2, 90=82495, 99=129087, 99.9=129087, 99.99=129087] 
2025-05-01 03:20:04:204 58 sec: 4604000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=99455, Min=33536, Avg=66071.02, 90=86655, 99=99455, 99.9=99455, 99.99=99455] 
