2025-05-01 04:13:26:647 32 sec: 2525000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=129855, Min=34112, Avg=71003.54, 90=111935, 99=129855, 99.9=129855, 99.99=129855] 
2025-05-01 04:13:27:647 33 sec: 2606000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=112511, Min=36448, Avg=68711.7, 90=93183, 99=112511, 99.9=112511, 99.99=112511] 
2025-05-01 04:13:28:647 34 sec: 2685000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=114367, Min=33248, Avg=58437.27, 90=89343, 99=114367, 99.9=114367, 99.99=114367] 
2025-05-01 04:13:29:647 35 sec: 2766000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=121087, Min=35392, Avg=61637.73, 90=97151, 99=121087, 99.9=121087, 99.99=121087] 
2025-05-01 04:13:30:647 36 sec: 2846000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=93759, Min=30352, Avg=43973.1, 90=54591, 99=93759, 99.9=93759, 99.99=93759] 
2025-05-01 04:13:31:647 37 sec: 2926000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=83903, Min=34528, Avg=45049.2, 90=56895, 99=83903, 99.9=83903, 99.99=83903] 
2025-05-01 04:13:32:647 38 sec: 3006000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=74815, Min=32512, Avg=41908.3, 90=51359, 99=74815, 99.9=74815, 99.99=74815] 
2025-05-01 04:13:33:647 39 sec: 3087000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=88255, Min=31408, Avg=40568.59, 90=46783, 99=88255, 99.9=88255, 99.99=88255] 
2025-05-01 04:13:34:647 40 sec: 3166000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=95295, Min=32336, Avg=42024.71, 90=49215, 99=95295, 99.9=95295, 99.99=95295] 
2025-05-01 04:13:35:647 41 sec: 3246000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=137471, Min=33440, Avg=50208.4, 90=69375, 99=137471, 99.9=137471, 99.99=137471] 
2025-05-01 04:13:36:647 42 sec: 3327000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=146687, Min=33888, Avg=51298.37, 90=67263, 99=146687, 99.9=146687, 99.99=146687] 
2025-05-01 04:13:37:647 43 sec: 3407000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=73663, Min=32448, Avg=42782.5, 90=58015, 99=73663, 99.9=73663, 99.99=73663] 
2025-05-01 04:13:38:647 44 sec: 3487000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=59359, Min=34624, Avg=38890, 90=44639, 99=59359, 99.9=59359, 99.99=59359] 
2025-05-01 04:13:39:647 45 sec: 3567000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=75263, Min=31808, Avg=40570, 90=52799, 99=75263, 99.9=75263, 99.99=75263] 
2025-05-01 04:13:40:647 46 sec: 3646000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=107071, Min=32704, Avg=51607.59, 90=78975, 99=107071, 99.9=107071, 99.99=107071] 
2025-05-01 04:13:41:647 47 sec: 3727000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=79231, Min=31584, Avg=44332.94, 90=59327, 99=79231, 99.9=79231, 99.99=79231] 
