2025-05-01 03:54:37:808 31 sec: 3668000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=79487, Min=31792, Avg=52544.94, 90=62335, 99=79487, 99.9=79487, 99.99=79487] 
2025-05-01 03:54:38:808 32 sec: 3788000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72255, Min=36512, Avg=53753.6, 90=60319, 99=71935, 99.9=72255, 99.99=72255] 
2025-05-01 03:54:39:808 33 sec: 3908000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74751, Min=36320, Avg=50005.07, 90=60607, 99=74751, 99.9=74751, 99.99=74751] 
2025-05-01 03:54:40:808 34 sec: 4026000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=73023, Min=44128, Avg=54608.41, 90=60063, 99=72511, 99.9=73023, 99.99=73023] 
2025-05-01 03:54:41:808 35 sec: 4148000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=75071, Min=42176, Avg=56058.62, 90=70143, 99=74559, 99.9=75071, 99.99=75071] 
2025-05-01 03:54:42:808 36 sec: 4270000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=68223, Min=32352, Avg=51272.07, 90=59743, 99=67775, 99.9=68223, 99.99=68223] 
2025-05-01 03:54:43:809 37 sec: 4390000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=69887, Min=32576, Avg=41482.13, 90=51487, 99=64799, 99.9=69887, 99.99=69887] 
2025-05-01 03:54:44:808 38 sec: 4510000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73855, Min=32896, Avg=45014.27, 90=59935, 99=73663, 99.9=73855, 99.99=73855] 
2025-05-01 03:54:45:808 39 sec: 4629000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=70271, Min=33824, Avg=40869.92, 90=49151, 99=67007, 99.9=70271, 99.99=70271] 
2025-05-01 03:54:46:808 40 sec: 4750000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=69695, Min=32240, Avg=46486.94, 90=60319, 99=67007, 99.9=69695, 99.99=69695] 
2025-05-01 03:54:47:808 41 sec: 4868000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=65439, Min=32256, Avg=43128.34, 90=53087, 99=61887, 99.9=65439, 99.99=65439] 
2025-05-01 03:54:48:808 42 sec: 4989000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=71487, Min=31504, Avg=45692.5, 90=56671, 99=71359, 99.9=71487, 99.99=71487] 
2025-05-01 03:54:49:808 43 sec: 5107000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=72575, Min=32352, Avg=50068.2, 90=60447, 99=70975, 99.9=72575, 99.99=72575] 
2025-05-01 03:54:50:808 44 sec: 5227000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=78271, Min=33088, Avg=54060.4, 90=67455, 99=75647, 99.9=78271, 99.99=78271] 
2025-05-01 03:54:51:808 45 sec: 5348000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=74687, Min=31664, Avg=49542.81, 90=61599, 99=73663, 99.9=74687, 99.99=74687] 
2025-05-01 03:54:52:808 46 sec: 5469000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=75007, Min=32480, Avg=53440.86, 90=63999, 99=74815, 99.9=75007, 99.99=75007] 
2025-05-01 03:54:53:808 47 sec: 5589000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=67455, Min=33728, Avg=46483.33, 90=56607, 99=63039, 99.9=67455, 99.99=67455] 
2025-05-01 03:54:54:808 48 sec: 5710000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=64415, Min=32256, Avg=40875.44, 90=50431, 99=61727, 99.9=64415, 99.99=64415] 
2025-05-01 03:54:55:808 49 sec: 5828000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=79615, Min=34720, Avg=46283.93, 90=59391, 99=79167, 99.9=79615, 99.99=79615] 
2025-05-01 03:54:56:808 50 sec: 5948000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=61855, Min=34336, Avg=46968.53, 90=58079, 99=61535, 99.9=61855, 99.99=61855] 
2025-05-01 03:54:57:808 51 sec: 6066000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=73407, Min=32752, Avg=48974.03, 90=59935, 99=73215, 99.9=73407, 99.99=73407] 
2025-05-01 03:54:58:808 52 sec: 6186000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73983, Min=33888, Avg=51011.73, 90=62207, 99=73727, 99.9=73983, 99.99=73983] 
2025-05-01 03:54:59:808 53 sec: 6309000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=74367, Min=32576, Avg=49381.92, 90=61375, 99=72383, 99.9=74367, 99.99=74367] 
2025-05-01 03:55:00:808 54 sec: 6429000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=68031, Min=32832, Avg=42758, 90=52703, 99=64287, 99.9=68031, 99.99=68031] 
2025-05-01 03:55:01:809 55 sec: 6515000 operations; 86000 current ops/sec; est completion in 2 minutes [INSERT: Count=87000, Max=576511, Min=31792, Avg=70984, 90=64415, 99=576511, 99.9=576511, 99.99=576511] 
2025-05-01 03:55:02:808 56 sec: 6552000 operations; 37000 current ops/sec; est completion in 2 minutes [INSERT: Count=36000, Max=1361919, Min=31824, Avg=538534, 90=1223679, 99=1361919, 99.9=1361919, 99.99=1361919] 
2025-05-01 03:55:03:808 57 sec: 6581000 operations; 29000 current ops/sec; est completion in 2 minutes [INSERT: Count=29000, Max=2105343, Min=727040, Avg=1415300.41, 90=2007039, 99=2105343, 99.9=2105343, 99.99=2105343] 
2025-05-01 03:55:04:808 58 sec: 6602000 operations; 21000 current ops/sec; est completion in 2 minutes [INSERT: Count=21000, Max=2902015, Min=1556480, Avg=2135722.67, 90=2869247, 99=2902015, 99.9=2902015, 99.99=2902015] 
2025-05-01 03:55:05:808 59 sec: 6698000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=3282943, Min=2230272, Avg=2886208, 90=3217407, 99=3282943, 99.9=3282943, 99.99=3282943] 
2025-05-01 03:55:06:808 60 sec: 6830000 operations; 132000 current ops/sec; est completion in 2 minutes [INSERT: Count=132000, Max=3899391, Min=1442816, Avg=2118023.76, 90=2537471, 99=3874815, 99.9=3899391, 99.99=3899391] 
2025-05-01 03:55:07:808 61 sec: 7024000 operations; 194000 current ops/sec; est completion in 2 minutes [INSERT: Count=194000, Max=4386815, Min=349696, Avg=2010051.3, 90=4247551, 99=4374527, 99.9=4386815, 99.99=4386815] 
2025-05-01 03:55:08:808 62 sec: 7212000 operations; 188000 current ops/sec; est completion in 2 minutes [INSERT: Count=188852, Max=3860479, Min=33344, Avg=2059016.92, 90=3723263, 99=3831807, 99.9=3860479, 99.99=3860479] 
2025-05-01 03:55:09:808 63 sec: 7396000 operations; 184000 current ops/sec; est completion in 2 minutes [INSERT: Count=183148, Max=3063807, Min=34080, Avg=1666093.74, 90=2811903, 99=3026943, 99.9=3063807, 99.99=3063807] 
2025-05-01 03:55:10:808 64 sec: 7577000 operations; 181000 current ops/sec; est completion in 2 minutes [INSERT: Count=181000, Max=2101247, Min=33664, Avg=946236.73, 90=1791999, 99=2067455, 99.9=2101247, 99.99=2101247] 
2025-05-01 03:55:11:808 65 sec: 7748000 operations; 171000 current ops/sec; est completion in 2 minutes [INSERT: Count=171000, Max=1035775, Min=32768, Avg=284809.08, 90=747519, 99=994815, 99.9=1035775, 99.99=1035775] 
2025-05-01 03:55:12:808 66 sec: 7826000 operations; 78000 current ops/sec; est completion in 2 minutes [INSERT: Count=78000, Max=573951, Min=31936, Avg=71796.82, 90=62879, 99=573951, 99.9=573951, 99.99=573951] 
2025-05-01 03:55:13:808 67 sec: 7899000 operations; 73000 current ops/sec; est completion in 2 minutes [INSERT: Count=73000, Max=1539071, Min=33792, Avg=254962.41, 90=1060863, 99=1539071, 99.9=1539071, 99.99=1539071] 
2025-05-01 03:55:14:808 68 sec: 7926000 operations; 27000 current ops/sec; est completion in 2 minutes [INSERT: Count=27000, Max=2310143, Min=37760, Avg=1224555.26, 90=2291711, 99=2310143, 99.9=2310143, 99.99=2310143] 
2025-05-01 03:55:15:808 69 sec: 7946000 operations; 20000 current ops/sec; est completion in 2 minutes [INSERT: Count=20000, Max=2805759, Min=882688, Avg=1790553.6, 90=2779135, 99=2805759, 99.9=2805759, 99.99=2805759] 
2025-05-01 03:55:16:808 70 sec: 7969000 operations; 23000 current ops/sec; est completion in 2 minutes [INSERT: Count=23500, Max=4005887, Min=1626112, Avg=2635754.21, 90=3643391, 99=4005887, 99.9=4005887, 99.99=4005887] 
2025-05-01 03:55:17:808 71 sec: 7983000 operations; 14000 current ops/sec; est completion in 2 minutes [INSERT: Count=13500, Max=4849663, Min=2406400, Avg=3720874.67, 90=4681727, 99=4849663, 99.9=4849663, 99.99=4849663] 
2025-05-01 03:55:18:808 72 sec: 7999000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=5689343, Min=3344384, Avg=4448512, 90=5558271, 99=5689343, 99.9=5689343, 99.99=5689343] 
2025-05-01 03:55:19:808 73 sec: 8015000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=6557695, Min=4192256, Avg=5293632, 90=6352895, 99=6557695, 99.9=6557695, 99.99=6557695] 
2025-05-01 03:55:20:808 74 sec: 8031000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=7467007, Min=5042176, Avg=6145280, 90=7196671, 99=7467007, 99.9=7467007, 99.99=7467007] 
2025-05-01 03:55:21:808 75 sec: 8070000 operations; 39000 current ops/sec; est completion in 2 minutes [INSERT: Count=39000, Max=8212479, Min=5894144, Avg=7626489.44, 90=8179711, 99=8212479, 99.9=8212479, 99.99=8212479] 
2025-05-01 03:55:22:808 76 sec: 8203000 operations; 133000 current ops/sec; est completion in 2 minutes [INSERT: Count=133000, Max=7991295, Min=6758400, Avg=7413652.21, 90=7872511, 99=7983103, 99.9=7991295, 99.99=7991295] 
2025-05-01 03:55:23:808 77 sec: 8338000 operations; 135000 current ops/sec; est completion in 2 minutes [INSERT: Count=135000, Max=8486911, Min=5746688, Avg=6485348.5, 90=7041023, 99=8437759, 99.9=8486911, 99.99=8486911] 
2025-05-01 03:55:24:808 78 sec: 8588000 operations; 250000 current ops/sec; est completion in 2 minutes [INSERT: Count=251000, Max=8503295, Min=4632576, Avg=6563056.7, 90=8257535, 99=8486911, 99.9=8503295, 99.99=8503295] 
2025-05-01 03:55:25:808 79 sec: 8846000 operations; 258000 current ops/sec; est completion in 2 minutes [INSERT: Count=257000, Max=7782399, Min=3473408, Avg=5472845.7, 90=7172095, 99=7704575, 99.9=7782399, 99.99=7782399] 
2025-05-01 03:55:26:808 80 sec: 9114000 operations; 268000 current ops/sec; est completion in 2 minutes [INSERT: Count=268000, Max=6299647, Min=2195456, Avg=4254372.3, 90=6082559, 99=6287359, 99.9=6299647, 99.99=6299647] 
2025-05-01 03:55:27:808 81 sec: 9304000 operations; 190000 current ops/sec; est completion in 2 minutes [INSERT: Count=190000, Max=5206015, Min=1798144, Avg=3791155.2, 90=4939775, 99=5169151, 99.9=5206015, 99.99=5206015] 
2025-05-01 03:55:28:808 82 sec: 9454000 operations; 150000 current ops/sec; est completion in 2 minutes [INSERT: Count=150000, Max=3915775, Min=2433024, Avg=3152008.53, 90=3686399, 99=3874815, 99.9=3915775, 99.99=3915775] 
2025-05-01 03:55:29:808 83 sec: 9530000 operations; 76000 current ops/sec; est completion in 2 minutes [INSERT: Count=76000, Max=3887103, Min=1955840, Avg=2453301.89, 90=3428351, 99=3887103, 99.9=3887103, 99.99=3887103] 
2025-05-01 03:55:30:808 84 sec: 9554000 operations; 24000 current ops/sec; est completion in 2 minutes [INSERT: Count=24000, Max=4739071, Min=2529280, Avg=3639978.67, 90=4698111, 99=4739071, 99.9=4739071, 99.99=4739071] 
