2025-04-30 09:51:18:114 51 sec: 6068000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=95999, Min=43008, Avg=64520, 90=86207, 99=95295, 99.9=95999, 99.99=95999] 
2025-04-30 09:51:19:114 52 sec: 6187000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=91519, Min=44992, Avg=63753.55, 90=84479, 99=91455, 99.9=91519, 99.99=91519] 
2025-04-30 09:51:20:114 53 sec: 6308000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=107391, Min=47168, Avg=65476.1, 90=85503, 99=107391, 99.9=107391, 99.99=107391] 
2025-04-30 09:51:21:114 54 sec: 6429000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=97087, Min=45664, Avg=63210.18, 90=84095, 99=97023, 99.9=97087, 99.99=97087] 
2025-04-30 09:51:22:114 55 sec: 6548000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=86399, Min=46368, Avg=61200.94, 90=76671, 99=83199, 99.9=86399, 99.99=86399] 
2025-04-30 09:51:23:114 56 sec: 6667000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=93311, Min=44992, Avg=65500.64, 90=85567, 99=91967, 99.9=93311, 99.99=93311] 
2025-04-30 09:51:24:114 57 sec: 6786000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=110655, Min=45888, Avg=66826.22, 90=90047, 99=109247, 99.9=110655, 99.99=110655] 
2025-04-30 09:51:25:114 58 sec: 6906000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=102079, Min=44928, Avg=63721.87, 90=88639, 99=98239, 99.9=102079, 99.99=102079] 
2025-04-30 09:51:26:114 59 sec: 7027000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=96511, Min=50592, Avg=66386.25, 90=89919, 99=96191, 99.9=96511, 99.99=96511] 
2025-04-30 09:51:27:114 60 sec: 7146000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=103871, Min=45696, Avg=61446.05, 90=85695, 99=99007, 99.9=103871, 99.99=103871] 
