2025-05-01 03:02:33:533 42 sec: 4992000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=74943, Min=33760, Avg=51028.07, 90=62655, 99=71743, 99.9=74943, 99.99=74943] 
2025-05-01 03:02:34:533 43 sec: 5112000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=76415, Min=31600, Avg=50032.87, 90=61791, 99=73535, 99.9=76415, 99.99=76415] 
2025-05-01 03:02:35:533 44 sec: 5229000 operations; 117000 current ops/sec; est completion in 2 minutes [INSERT: Count=117000, Max=80831, Min=32384, Avg=54365.06, 90=68735, 99=77247, 99.9=80831, 99.99=80831] 
2025-05-01 03:02:36:533 45 sec: 5352000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=75199, Min=32992, Avg=52757.46, 90=64671, 99=73151, 99.9=75199, 99.99=75199] 
2025-05-01 03:02:37:533 46 sec: 5472000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=76991, Min=33472, Avg=51711.2, 90=62271, 99=76479, 99.9=76991, 99.99=76991] 
2025-05-01 03:02:38:533 47 sec: 5590000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=74367, Min=35072, Avg=51816, 90=61279, 99=73599, 99.9=74367, 99.99=74367] 
2025-05-01 03:02:39:533 48 sec: 5662000 operations; 72000 current ops/sec; est completion in 2 minutes [INSERT: Count=72000, Max=768511, Min=35648, Avg=124262, 90=545791, 99=768511, 99.9=768511, 99.99=768511] 
2025-05-01 03:02:40:533 49 sec: 5830000 operations; 168000 current ops/sec; est completion in 2 minutes [INSERT: Count=168000, Max=985599, Min=33376, Avg=327893.24, 90=831999, 99=979967, 99.9=985599, 99.99=985599] 
2025-05-01 03:02:41:533 50 sec: 5952000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=72447, Min=33312, Avg=42910.43, 90=54207, 99=67199, 99.9=72447, 99.99=72447] 
2025-05-01 03:02:42:533 51 sec: 6072000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=69311, Min=33536, Avg=44723.47, 90=54879, 99=68543, 99.9=69311, 99.99=69311] 
2025-05-01 03:02:43:533 52 sec: 6191000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=70847, Min=31584, Avg=45645.38, 90=55423, 99=64799, 99.9=70847, 99.99=70847] 
2025-05-01 03:02:44:533 53 sec: 6282000 operations; 91000 current ops/sec; est completion in 2 minutes [INSERT: Count=91000, Max=493823, Min=33216, Avg=63791.3, 90=61599, 99=493823, 99.9=493823, 99.99=493823] 
2025-05-01 03:02:45:533 54 sec: 6354000 operations; 72000 current ops/sec; est completion in 2 minutes [INSERT: Count=72000, Max=1207295, Min=32864, Avg=202575.33, 90=911359, 99=1207295, 99.9=1207295, 99.99=1207295] 
2025-05-01 03:02:46:533 55 sec: 6451000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=1935359, Min=32096, Avg=667698.39, 90=1860607, 99=1935359, 99.9=1935359, 99.99=1935359] 
2025-05-01 03:02:47:533 56 sec: 6635000 operations; 184000 current ops/sec; est completion in 2 minutes [INSERT: Count=184000, Max=1710079, Min=32592, Avg=812360.39, 90=1544191, 99=1700863, 99.9=1710079, 99.99=1710079] 
2025-05-01 03:02:48:533 57 sec: 6790000 operations; 155000 current ops/sec; est completion in 2 minutes [INSERT: Count=155000, Max=674303, Min=33376, Avg=182885.68, 90=517887, 99=636415, 99.9=674303, 99.99=674303] 
2025-05-01 03:02:49:533 58 sec: 6864000 operations; 74000 current ops/sec; est completion in 2 minutes [INSERT: Count=74000, Max=805375, Min=34560, Avg=132429.84, 90=502527, 99=805375, 99.9=805375, 99.99=805375] 
2025-05-01 03:02:50:533 59 sec: 6937000 operations; 73000 current ops/sec; est completion in 2 minutes [INSERT: Count=73000, Max=1587199, Min=34336, Avg=274700.27, 90=1160191, 99=1587199, 99.9=1587199, 99.99=1587199] 
2025-05-01 03:02:51:533 60 sec: 7011000 operations; 74000 current ops/sec; est completion in 2 minutes [INSERT: Count=74000, Max=2308095, Min=38144, Avg=416700.76, 90=2013183, 99=2308095, 99.9=2308095, 99.99=2308095] 
2025-05-01 03:02:52:533 61 sec: 7077000 operations; 66000 current ops/sec; est completion in 2 minutes [INSERT: Count=66000, Max=3262463, Min=34560, Avg=319711.52, 90=69695, 99=3262463, 99.9=3262463, 99.99=3262463] 
