2025-08-10 22:00:40:016 29 sec: 31746 operations; 1126 current ops/sec; est completion in 45 minutes [INSERT: Count=1126, Max=1033, Min=718, Avg=879.08, 90=915, 99=950, 99.9=1000, 99.99=1033] 
2025-08-10 22:00:41:016 30 sec: 32875 operations; 1129 current ops/sec; est completion in 45 minutes [INSERT: Count=1129, Max=2527, Min=674, Avg=877.78, 90=913, 99=947, 99.9=1028, 99.99=2527] 
2025-08-10 22:00:42:016 31 sec: 34009 operations; 1134 current ops/sec; est completion in 45 minutes [INSERT: Count=1135, Max=1058, Min=725, Avg=874.64, 90=912, 99=949, 99.9=1030, 99.99=1058] 
2025-08-10 22:00:43:016 32 sec: 35141 operations; 1132 current ops/sec; est completion in 45 minutes [INSERT: Count=1132, Max=1031, Min=642, Avg=876.99, 90=914, 99=942, 99.9=976, 99.99=1031] 
2025-08-10 22:00:44:016 33 sec: 36274 operations; 1133 current ops/sec; est completion in 44 minutes [INSERT: Count=1132, Max=1011, Min=737, Avg=875.49, 90=913, 99=939, 99.9=957, 99.99=1011] 
2025-08-10 22:00:45:016 34 sec: 37403 operations; 1129 current ops/sec; est completion in 44 minutes [INSERT: Count=1129, Max=1029, Min=733, Avg=879.12, 90=917, 99=945, 99.9=1014, 99.99=1029] 
2025-08-10 22:00:46:016 35 sec: 38538 operations; 1135 current ops/sec; est completion in 44 minutes [INSERT: Count=1135, Max=1009, Min=754, Avg=874.45, 90=910, 99=938, 99.9=985, 99.99=1009] 
2025-08-10 22:00:47:016 36 sec: 39673 operations; 1135 current ops/sec; est completion in 44 minutes [INSERT: Count=1135, Max=996, Min=654, Avg=875.05, 90=909, 99=940, 99.9=989, 99.99=996] 
2025-08-10 22:00:48:016 37 sec: 40815 operations; 1142 current ops/sec; est completion in 44 minutes [INSERT: Count=1142, Max=1074, Min=681, Avg=867.9, 90=904, 99=940, 99.9=1063, 99.99=1074] 
2025-08-10 22:00:49:016 38 sec: 41956 operations; 1141 current ops/sec; est completion in 44 minutes [INSERT: Count=1141, Max=1050, Min=729, Avg=869.97, 90=906, 99=944, 99.9=990, 99.99=1050] 
2025-08-10 22:00:50:016 39 sec: 43090 operations; 1134 current ops/sec; est completion in 44 minutes [INSERT: Count=1134, Max=1021, Min=717, Avg=875.25, 90=912, 99=942, 99.9=966, 99.99=1021] 
2025-08-10 22:00:51:016 40 sec: 44225 operations; 1135 current ops/sec; est completion in 44 minutes [INSERT: Count=1135, Max=997, Min=609, Avg=874.28, 90=912, 99=946, 99.9=991, 99.99=997] 
2025-08-10 22:00:52:016 41 sec: 45357 operations; 1132 current ops/sec; est completion in 44 minutes [INSERT: Count=1132, Max=1216, Min=710, Avg=876.69, 90=915, 99=951, 99.9=1029, 99.99=1216] 
2025-08-10 22:00:53:016 42 sec: 46491 operations; 1134 current ops/sec; est completion in 44 minutes [INSERT: Count=1134, Max=1025, Min=683, Avg=874.22, 90=911, 99=947, 99.9=996, 99.99=1025] 
2025-08-10 22:00:54:016 43 sec: 47620 operations; 1129 current ops/sec; est completion in 44 minutes [INSERT: Count=1129, Max=1610, Min=724, Avg=877.84, 90=916, 99=953, 99.9=1032, 99.99=1610] 
2025-08-10 22:00:55:016 44 sec: 48748 operations; 1128 current ops/sec; est completion in 44 minutes [INSERT: Count=1129, Max=1611, Min=710, Avg=878.24, 90=916, 99=957, 99.9=990, 99.99=1611] 
2025-08-10 22:00:56:016 45 sec: 49870 operations; 1122 current ops/sec; est completion in 44 minutes [INSERT: Count=1121, Max=1651, Min=755, Avg=884.24, 90=918, 99=961, 99.9=1639, 99.99=1651] 
2025-08-10 22:00:57:016 46 sec: 50994 operations; 1124 current ops/sec; est completion in 44 minutes [INSERT: Count=1124, Max=1688, Min=736, Avg=881.99, 90=919, 99=949, 99.9=1024, 99.99=1688] 
