2025-08-10 22:45:33:903 62 sec: 65878 operations; 1082 current ops/sec; est completion in 46 minutes [INSERT: Count=1082, Max=1101, Min=757, Avg=919.32, 90=958, 99=998, 99.9=1033, 99.99=1101] 
2025-08-10 22:45:34:903 63 sec: 66964 operations; 1086 current ops/sec; est completion in 46 minutes [INSERT: Count=1087, Max=1031, Min=806, Avg=916, 90=952, 99=986, 99.9=1028, 99.99=1031] 
2025-08-10 22:45:35:903 64 sec: 68055 operations; 1091 current ops/sec; est completion in 45 minutes [INSERT: Count=1090, Max=1034, Min=650, Avg=912.58, 90=952, 99=994, 99.9=1023, 99.99=1034] 
2025-08-10 22:45:36:903 65 sec: 69143 operations; 1088 current ops/sec; est completion in 45 minutes [INSERT: Count=1088, Max=1033, Min=734, Avg=914.2, 90=952, 99=993, 99.9=1021, 99.99=1033] 
2025-08-10 22:45:37:903 66 sec: 70229 operations; 1086 current ops/sec; est completion in 45 minutes [INSERT: Count=1086, Max=1028, Min=812, Avg=916.18, 90=953, 99=988, 99.9=1022, 99.99=1028] 
2025-08-10 22:45:38:903 67 sec: 71314 operations; 1085 current ops/sec; est completion in 45 minutes [INSERT: Count=1085, Max=1075, Min=820, Avg=917.01, 90=953, 99=982, 99.9=1020, 99.99=1075] 
2025-08-10 22:45:39:903 68 sec: 72398 operations; 1084 current ops/sec; est completion in 45 minutes [INSERT: Count=1084, Max=1678, Min=805, Avg=917.91, 90=953, 99=993, 99.9=1046, 99.99=1678] 
2025-08-10 22:45:40:903 69 sec: 73484 operations; 1086 current ops/sec; est completion in 45 minutes [INSERT: Count=1086, Max=1028, Min=821, Avg=916.21, 90=954, 99=991, 99.9=1018, 99.99=1028] 
2025-08-10 22:45:41:903 70 sec: 74569 operations; 1085 current ops/sec; est completion in 45 minutes [INSERT: Count=1085, Max=1029, Min=815, Avg=916, 90=952, 99=990, 99.9=1028, 99.99=1029] 
2025-08-10 22:45:42:903 71 sec: 75653 operations; 1084 current ops/sec; est completion in 45 minutes [INSERT: Count=1084, Max=1041, Min=714, Avg=917.66, 90=957, 99=987, 99.9=1037, 99.99=1041] 
