2025-05-01 04:21:17:751 32 sec: 3788000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=72575, Min=32272, Avg=49487.93, 90=60703, 99=72255, 99.9=72575, 99.99=72575] 
2025-05-01 04:21:18:751 33 sec: 3908000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73663, Min=32080, Avg=49876.27, 90=59359, 99=71615, 99.9=73663, 99.99=73663] 
2025-05-01 04:21:19:751 34 sec: 4028000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=75199, Min=35680, Avg=48194.53, 90=60383, 99=71039, 99.9=75199, 99.99=75199] 
2025-05-01 04:21:20:751 35 sec: 4148000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=84479, Min=34112, Avg=52931.2, 90=64991, 99=81471, 99.9=84479, 99.99=84479] 
2025-05-01 04:21:21:751 36 sec: 4269000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=74495, Min=32640, Avg=47490.84, 90=58143, 99=74047, 99.9=74495, 99.99=74495] 
2025-05-01 04:21:22:751 37 sec: 4390000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=70783, Min=32224, Avg=49135.01, 90=61855, 99=68287, 99.9=70783, 99.99=70783] 
2025-05-01 04:21:23:751 38 sec: 4509000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=74175, Min=32800, Avg=46620.91, 90=61407, 99=72447, 99.9=74175, 99.99=74175] 
2025-05-01 04:21:24:751 39 sec: 4629000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=78015, Min=33728, Avg=53431.33, 90=65055, 99=77823, 99.9=78015, 99.99=78015] 
2025-05-01 04:21:25:751 40 sec: 4749000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=79487, Min=30944, Avg=53530.87, 90=66239, 99=79423, 99.9=79487, 99.99=79487] 
2025-05-01 04:21:26:751 41 sec: 4868000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=77183, Min=33184, Avg=53334.86, 90=61599, 99=75967, 99.9=77183, 99.99=77183] 
2025-05-01 04:21:27:751 42 sec: 4988000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=75903, Min=32896, Avg=56391.87, 90=63295, 99=75583, 99.9=75903, 99.99=75903] 
2025-05-01 04:21:28:751 43 sec: 5108000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=76095, Min=41184, Avg=61392, 90=67007, 99=76031, 99.9=76095, 99.99=76095] 
2025-05-01 04:21:29:751 44 sec: 5228000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74943, Min=37568, Avg=60443.2, 90=70911, 99=74943, 99.9=74943, 99.99=74943] 
2025-05-01 04:21:30:751 45 sec: 5348000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=78015, Min=32656, Avg=57992.87, 90=67711, 99=77119, 99.9=78015, 99.99=78015] 
2025-05-01 04:21:31:751 46 sec: 5468000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73919, Min=35392, Avg=53668.13, 90=58719, 99=71999, 99.9=73919, 99.99=73919] 
2025-05-01 04:21:32:751 47 sec: 5588000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=76607, Min=32832, Avg=57926.27, 90=66431, 99=76351, 99.9=76607, 99.99=76607] 
2025-05-01 04:21:33:751 48 sec: 5708000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=79999, Min=34112, Avg=57667.73, 90=66815, 99=78975, 99.9=79999, 99.99=79999] 
2025-05-01 04:21:34:751 49 sec: 5829000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=80255, Min=32272, Avg=54558.21, 90=64831, 99=80191, 99.9=80255, 99.99=80255] 
2025-05-01 04:21:35:751 50 sec: 5949000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74047, Min=31600, Avg=51485, 90=60575, 99=73087, 99.9=74047, 99.99=74047] 
2025-05-01 04:21:36:751 51 sec: 6068000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=74879, Min=33440, Avg=52917.38, 90=61983, 99=73855, 99.9=74879, 99.99=74879] 
2025-05-01 04:21:37:751 52 sec: 6188000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73471, Min=36352, Avg=55921.87, 90=64447, 99=72575, 99.9=73471, 99.99=73471] 
