2025-04-30 15:38:44:226 47 sec: 4653000 operations; 96000 current ops/sec; est completion in 3 minutes [INSERT: Count=96000, Max=154879, Min=48416, Avg=78184.33, 90=107263, 99=154879, 99.9=154879, 99.99=154879] 
2025-04-30 15:38:45:226 48 sec: 4749000 operations; 96000 current ops/sec; est completion in 3 minutes [INSERT: Count=96000, Max=151295, Min=53632, Avg=84547.5, 90=124287, 99=151295, 99.9=151295, 99.99=151295] 
2025-04-30 15:38:46:226 49 sec: 4852000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=149119, Min=49152, Avg=75722.72, 90=100671, 99=147327, 99.9=149119, 99.99=149119] 
2025-04-30 15:38:47:226 50 sec: 4954000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=190975, Min=51200, Avg=88759.53, 90=124543, 99=189951, 99.9=190975, 99.99=190975] 
2025-04-30 15:38:48:226 51 sec: 5053000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=142719, Min=54368, Avg=74719.19, 90=99263, 99=142719, 99.9=142719, 99.99=142719] 
2025-04-30 15:38:49:226 52 sec: 5154000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=151423, Min=48608, Avg=75477.7, 90=105023, 99=117951, 99.9=151423, 99.99=151423] 
2025-04-30 15:38:50:226 53 sec: 5249000 operations; 95000 current ops/sec; est completion in 3 minutes [INSERT: Count=95000, Max=235007, Min=49792, Avg=91081.77, 90=132607, 99=235007, 99.9=235007, 99.99=235007] 
2025-04-30 15:38:51:226 54 sec: 5356000 operations; 107000 current ops/sec; est completion in 3 minutes [INSERT: Count=107000, Max=150399, Min=50400, Avg=70996.19, 90=100351, 99=147967, 99.9=150399, 99.99=150399] 
2025-04-30 15:38:52:226 55 sec: 5456000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=140671, Min=48352, Avg=67820.32, 90=95935, 99=136575, 99.9=140671, 99.99=140671] 
2025-04-30 15:38:53:226 56 sec: 5552000 operations; 96000 current ops/sec; est completion in 3 minutes [INSERT: Count=96000, Max=125439, Min=52192, Avg=71360.83, 90=92095, 99=125439, 99.9=125439, 99.99=125439] 
2025-04-30 15:38:54:226 57 sec: 5655000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=197759, Min=49408, Avg=72925.98, 90=104127, 99=187391, 99.9=197759, 99.99=197759] 
2025-04-30 15:38:55:226 58 sec: 5755000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=139007, Min=47104, Avg=73278.4, 90=107647, 99=138751, 99.9=139007, 99.99=139007] 
2025-04-30 15:38:56:226 59 sec: 5855000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=147839, Min=51168, Avg=77261.76, 90=109183, 99=134399, 99.9=147839, 99.99=147839] 
2025-04-30 15:38:57:226 60 sec: 5952000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=97000, Max=138751, Min=48672, Avg=77557.11, 90=110783, 99=138751, 99.9=138751, 99.99=138751] 
2025-04-30 15:38:58:226 61 sec: 6050000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=185727, Min=44832, Avg=90514.94, 90=134143, 99=185727, 99.9=185727, 99.99=185727] 
2025-04-30 15:38:59:226 62 sec: 6154000 operations; 104000 current ops/sec; est completion in 3 minutes [INSERT: Count=104000, Max=179071, Min=49664, Avg=82324, 90=137599, 99=168191, 99.9=179071, 99.99=179071] 
2025-04-30 15:39:00:226 63 sec: 6254000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=175615, Min=52000, Avg=85233.44, 90=131711, 99=173439, 99.9=175615, 99.99=175615] 
2025-04-30 15:39:01:226 64 sec: 6352000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=135295, Min=51328, Avg=78298.12, 90=118399, 99=135295, 99.9=135295, 99.99=135295] 
2025-04-30 15:39:02:226 65 sec: 6454000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=164223, Min=51456, Avg=83370.35, 90=135679, 99=159487, 99.9=164223, 99.99=164223] 
2025-04-30 15:39:03:226 66 sec: 6556000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=132863, Min=51872, Avg=68918.75, 90=99455, 99=120383, 99.9=132863, 99.99=132863] 
2025-04-30 15:39:04:226 67 sec: 6651000 operations; 95000 current ops/sec; est completion in 3 minutes [INSERT: Count=95000, Max=179455, Min=46880, Avg=76315.79, 90=113919, 99=179455, 99.9=179455, 99.99=179455] 
2025-04-30 15:39:05:226 68 sec: 6754000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=247935, Min=50240, Avg=101615.07, 90=172159, 99=225407, 99.9=247935, 99.99=247935] 
2025-04-30 15:39:06:226 69 sec: 6854000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=158847, Min=50496, Avg=81062.72, 90=113663, 99=150399, 99.9=158847, 99.99=158847] 
2025-04-30 15:39:07:226 70 sec: 6954000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=151551, Min=48512, Avg=77518.56, 90=109055, 99=150911, 99.9=151551, 99.99=151551] 
2025-04-30 15:39:08:226 71 sec: 7051000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=97000, Max=175999, Min=46336, Avg=90169.73, 90=136319, 99=175999, 99.9=175999, 99.99=175999] 
2025-04-30 15:39:09:226 72 sec: 7155000 operations; 104000 current ops/sec; est completion in 3 minutes [INSERT: Count=104000, Max=153599, Min=49952, Avg=72458.46, 90=106623, 99=139135, 99.9=153599, 99.99=153599] 
2025-04-30 15:39:10:226 73 sec: 7255000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=193663, Min=45216, Avg=78726.4, 90=125183, 99=189055, 99.9=193663, 99.99=193663] 
2025-04-30 15:39:11:226 74 sec: 7349000 operations; 94000 current ops/sec; est completion in 2 minutes [INSERT: Count=94000, Max=161919, Min=51136, Avg=78772.77, 90=113087, 99=161919, 99.9=161919, 99.99=161919] 
2025-04-30 15:39:12:226 75 sec: 7455000 operations; 106000 current ops/sec; est completion in 2 minutes [INSERT: Count=106000, Max=185087, Min=50944, Avg=83153.51, 90=125567, 99=154495, 99.9=185087, 99.99=185087] 
2025-04-30 15:39:13:226 76 sec: 7553000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=169855, Min=47712, Avg=84624.33, 90=133631, 99=169855, 99.9=169855, 99.99=169855] 
2025-04-30 15:39:14:226 77 sec: 7655000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=111999, Min=50464, Avg=67255.37, 90=91647, 99=111679, 99.9=111999, 99.99=111999] 
2025-04-30 15:39:15:226 78 sec: 7755000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=145919, Min=47584, Avg=71063.68, 90=97535, 99=142207, 99.9=145919, 99.99=145919] 
2025-04-30 15:39:16:226 79 sec: 7852000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=224383, Min=53568, Avg=93637.44, 90=162815, 99=224383, 99.9=224383, 99.99=224383] 
