2025-04-30 16:02:52:377 89 sec: 8853000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=180223, Min=49920, Avg=77406.4, 90=113087, 99=164607, 99.9=180223, 99.99=180223] 
2025-04-30 16:02:53:377 90 sec: 8953000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=138111, Min=51008, Avg=74045.92, 90=98943, 99=129151, 99.9=138111, 99.99=138111] 
2025-04-30 16:02:54:377 91 sec: 9053000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=239487, Min=51392, Avg=87776.96, 90=137983, 99=213759, 99.9=239487, 99.99=239487] 
2025-04-30 16:02:55:377 92 sec: 9152000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=124031, Min=51456, Avg=75936.97, 90=99903, 99=124031, 99.9=124031, 99.99=124031] 
2025-04-30 16:02:56:377 93 sec: 9253000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=201599, Min=50368, Avg=80116.75, 90=113663, 99=192383, 99.9=201599, 99.99=201599] 
2025-04-30 16:02:57:377 94 sec: 9353000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=170495, Min=55040, Avg=85448.96, 90=115839, 99=153343, 99.9=170495, 99.99=170495] 
2025-04-30 16:02:58:377 95 sec: 9454000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=118335, Min=52448, Avg=75446.5, 90=99775, 99=117951, 99.9=118335, 99.99=118335] 
2025-04-30 16:02:59:377 96 sec: 9551000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=97000, Max=166527, Min=45088, Avg=81684.62, 90=111103, 99=166527, 99.9=166527, 99.99=166527] 
2025-04-30 16:03:00:377 97 sec: 9651000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=170495, Min=51712, Avg=92940.8, 90=142719, 99=166655, 99.9=170495, 99.99=170495] 
2025-04-30 16:03:01:377 98 sec: 9753000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=202495, Min=51200, Avg=92367.53, 90=148095, 99=201215, 99.9=202495, 99.99=202495] 
