2025-08-18 15:27:26:355 430 sec: 6728098 operations; 15802.7 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=158027, Max=8879, Min=542, Avg=2019.94, 90=2693, 99=3725, 99.9=5151, 99.99=6863] 
2025-08-18 15:27:36:355 440 sec: 6887004 operations; 15890.6 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=158911, Max=8975, Min=568, Avg=2008.63, 90=2681, 99=3699, 99.9=5335, 99.99=7911] 
2025-08-18 15:27:46:355 450 sec: 7046502 operations; 15949.8 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=159492, Max=12591, Min=544, Avg=2001.23, 90=2677, 99=3743, 99.9=5355, 99.99=7191] 
2025-08-18 15:27:56:355 460 sec: 7205385 operations; 15888.3 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=158884, Max=7911, Min=515, Avg=2008.89, 90=2687, 99=3713, 99.9=5079, 99.99=6783] 
2025-08-18 15:28:06:355 470 sec: 7364464 operations; 15907.9 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=159081, Max=8063, Min=583, Avg=2006.46, 90=2679, 99=3719, 99.9=5271, 99.99=6835] 
2025-08-18 15:28:16:355 480 sec: 7519439 operations; 15495.95 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=154972, Max=9135, Min=577, Avg=2059.78, 90=2723, 99=3715, 99.9=5159, 99.99=7123] 
2025-08-18 15:28:26:355 490 sec: 7678732 operations; 15930.89 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=159294, Max=11447, Min=548, Avg=2003.67, 90=2679, 99=3771, 99.9=5595, 99.99=8911] 
2025-08-18 15:28:36:355 500 sec: 7835756 operations; 15702.4 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=157023, Max=9559, Min=547, Avg=2032.76, 90=2703, 99=3707, 99.9=5047, 99.99=7319] 
2025-08-18 15:28:46:355 510 sec: 7994465 operations; 15870.9 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=158709, Max=9967, Min=532, Avg=2011.3, 90=2685, 99=3729, 99.9=5387, 99.99=8431] 
2025-08-18 15:28:56:355 520 sec: 8153197 operations; 15873.2 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=158732, Max=9847, Min=537, Avg=2010.9, 90=2681, 99=3691, 99.9=5111, 99.99=7479] 
2025-08-18 15:29:06:355 530 sec: 8308771 operations; 15557.4 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=155583, Max=10023, Min=531, Avg=2051.7, 90=2729, 99=3767, 99.9=5467, 99.99=7811] 
2025-08-18 15:29:16:355 540 sec: 8467252 operations; 15848.1 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=158477, Max=8943, Min=533, Avg=2014.1, 90=2687, 99=3725, 99.9=5339, 99.99=7091] 
2025-08-18 15:29:26:355 550 sec: 8626175 operations; 15892.3 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=158920, Max=9135, Min=561, Avg=2008.42, 90=2683, 99=3755, 99.9=5275, 99.99=7239] 
2025-08-18 15:29:36:355 560 sec: 8785510 operations; 15933.5 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=159336, Max=11247, Min=541, Avg=2003.19, 90=2675, 99=3683, 99.9=5143, 99.99=8551] 
2025-08-18 15:29:46:355 570 sec: 8941477 operations; 15596.7 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=155965, Max=9607, Min=568, Avg=2046.55, 90=2715, 99=3707, 99.9=5131, 99.99=8159] 
2025-08-18 15:29:56:355 580 sec: 9100897 operations; 15942 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=159419, Max=10767, Min=545, Avg=2002.28, 90=2673, 99=3695, 99.9=5071, 99.99=6415] 
2025-08-18 15:30:06:355 590 sec: 9259450 operations; 15855.3 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=158556, Max=9791, Min=539, Avg=2013.11, 90=2685, 99=3705, 99.9=5311, 99.99=8375] 
2025-08-18 15:30:16:355 600 sec: 9417534 operations; 15808.4 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=158082, Max=10855, Min=558, Avg=2019.22, 90=2695, 99=3707, 99.9=5163, 99.99=7611] 
2025-08-18 15:30:26:355 610 sec: 9575958 operations; 15842.4 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=158426, Max=8799, Min=569, Avg=2014.73, 90=2685, 99=3723, 99.9=5363, 99.99=7555] 
2025-08-18 15:30:36:355 620 sec: 9734159 operations; 15820.1 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=158202, Max=11783, Min=555, Avg=2017.7, 90=2693, 99=3713, 99.9=5283, 99.99=7703] 
2025-08-18 15:30:46:355 630 sec: 9892551 operations; 15839.2 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=158389, Max=7415, Min=531, Avg=2015.24, 90=2685, 99=3707, 99.9=5043, 99.99=6871] 
2025-08-18 15:30:56:355 640 sec: 10050134 operations; 15758.3 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=157587, Max=11015, Min=524, Avg=2025.52, 90=2697, 99=3709, 99.9=5415, 99.99=8147] 
2025-08-18 15:31:06:355 650 sec: 10205068 operations; 15493.4 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=154934, Max=11055, Min=523, Avg=2060.28, 90=2727, 99=3799, 99.9=5851, 99.99=8535] 
2025-08-18 15:31:16:355 660 sec: 10362370 operations; 15730.2 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=157299, Max=8959, Min=503, Avg=2029.2, 90=2703, 99=3719, 99.9=5083, 99.99=7179] 
2025-08-18 15:31:26:355 670 sec: 10521585 operations; 15921.5 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=159216, Max=10383, Min=540, Avg=2004.75, 90=2677, 99=3733, 99.9=5295, 99.99=7051] 
2025-08-18 15:31:36:355 680 sec: 10680630 operations; 15904.5 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=159046, Max=9839, Min=526, Avg=2006.94, 90=2685, 99=3747, 99.9=5795, 99.99=7763] 
2025-08-18 15:31:46:355 690 sec: 10838360 operations; 15773 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=157727, Max=11015, Min=520, Avg=2023.65, 90=2695, 99=3751, 99.9=5515, 99.99=9207] 
2025-08-18 15:31:56:355 700 sec: 10997857 operations; 15949.7 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=159497, Max=9647, Min=489, Avg=2001.24, 90=2671, 99=3681, 99.9=5011, 99.99=7567] 
2025-08-18 15:32:06:355 710 sec: 11157538 operations; 15968.1 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=159683, Max=9711, Min=541, Avg=1998.88, 90=2677, 99=3745, 99.9=5279, 99.99=7671] 
2025-08-18 15:32:16:355 720 sec: 11317286 operations; 15974.8 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=159747, Max=8743, Min=545, Avg=1998.06, 90=2679, 99=3725, 99.9=5379, 99.99=7791] 
2025-08-18 15:32:26:355 730 sec: 11476591 operations; 15930.5 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=159307, Max=8991, Min=530, Avg=2003.59, 90=2683, 99=3703, 99.9=5163, 99.99=7715] 
